Soil_color,Nitrogen,Phosphorus,Potassium,pH,Crop,Fertilizer,Link
Black,80,50,110,6.5,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo
Black,85,50,110,6.5,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo
Black,90,50,110,6.5,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo
Black,95,50,110,6.5,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo
Black,100,50,110,6.5,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo
Black,75,55,115,7,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo
Black,80,55,115,7,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo
Black,85,55,115,7,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo
Black,90,55,115,7,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo
Black,95,55,115,7,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo
Black,100,55,115,7,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo
Black,75,60,100,7.5,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo
Black,80,60,100,7.5,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo
Black,85,60,100,7.5,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo
Black,90,60,100,7.5,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo
Black,95,60,100,7.5,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo
Black,100,60,100,7.5,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo
Black,75,50,105,6.5,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo
Black,80,50,105,6.5,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo
Black,85,50,105,6.5,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo
Black,90,50,105,6.5,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo
Black,95,50,105,6.5,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo
Black,100,50,105,6.5,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo
Black,75,55,110,7,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo
Black,80,55,110,7,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo
Black,85,55,110,7,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo
Black,90,55,110,7,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo
Black,95,55,110,7,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo
Black,100,55,110,7,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo
Black,75,60,115,7.5,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo
Black,80,60,115,7.5,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo
Black,85,60,115,7.5,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo
Black,90,60,115,7.5,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo
Black,95,60,115,7.5,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo
Black,100,60,115,7.5,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo
Black,20,30,25,7,Sorghum,Urea,https://youtu.be/hxuB66J-3BI
Black,25,30,25,7,Sorghum,Urea,https://youtu.be/hxuB66J-3BI
Black,30,30,25,7,Sorghum,Urea,https://youtu.be/hxuB66J-3BI
Black,35,30,25,7,Sorghum,Urea,https://youtu.be/hxuB66J-3BI
Black,40,30,25,7,Sorghum,Urea,https://youtu.be/hxuB66J-3BI
Black,20,35,30,7.5,Sorghum,Urea,https://youtu.be/hxuB66J-3BI
Black,25,35,30,7.5,Sorghum,Urea,https://youtu.be/hxuB66J-3BI
Black,30,35,30,7.5,Sorghum,Urea,https://youtu.be/hxuB66J-3BI
Black,35,35,30,7.5,Sorghum,Urea,https://youtu.be/hxuB66J-3BI
Black,40,35,30,7.5,Sorghum,Urea,https://youtu.be/hxuB66J-3BI
Black,20,25,35,6.5,Sorghum,Urea,https://youtu.be/hxuB66J-3BI
Black,25,25,35,6.5,Sorghum,Urea,https://youtu.be/hxuB66J-3BI
Black,30,25,35,6.5,Sorghum,Urea,https://youtu.be/hxuB66J-3BI
Black,35,25,35,6.5,Sorghum,Urea,https://youtu.be/hxuB66J-3BI
Black,40,25,35,6.5,Sorghum,Urea,https://youtu.be/hxuB66J-3BI
Black,20,30,40,7,Sorghum,Urea,https://youtu.be/hxuB66J-3BI
Black,25,30,40,7,Sorghum,Urea,https://youtu.be/hxuB66J-3BI
Black,30,30,40,7,Sorghum,Urea,https://youtu.be/hxuB66J-3BI
Black,35,30,40,7,Sorghum,Urea,https://youtu.be/hxuB66J-3BI
Black,40,30,40,7,Sorghum,Urea,https://youtu.be/hxuB66J-3BI
Black,20,35,25,7.5,Sorghum,SSP,https://youtu.be/hxuB66J-3BI
Black,25,35,25,7.5,Sorghum,SSP,https://youtu.be/hxuB66J-3BI
Black,30,35,25,7.5,Sorghum,SSP,https://youtu.be/hxuB66J-3BI
Black,35,35,25,7.5,Sorghum,SSP,https://youtu.be/hxuB66J-3BI
Black,40,35,25,7.5,Sorghum,SSP,https://youtu.be/hxuB66J-3BI
Black,20,25,30,6.5,Sorghum,SSP,https://youtu.be/hxuB66J-3BI
Black,25,25,30,6.5,Sorghum,SSP,https://youtu.be/hxuB66J-3BI
Black,30,25,30,6.5,Sorghum,SSP,https://youtu.be/hxuB66J-3BI
Black,35,25,30,6.5,Sorghum,SSP,https://youtu.be/hxuB66J-3BI
Black,40,25,30,6.5,Sorghum,SSP,https://youtu.be/hxuB66J-3BI
Black,20,30,35,7,Sorghum,SSP,https://youtu.be/hxuB66J-3BI
Black,25,30,35,7,Sorghum,SSP,https://youtu.be/hxuB66J-3BI
Black,30,30,35,7,Sorghum,SSP,https://youtu.be/hxuB66J-3BI
Black,35,30,35,7,Sorghum,SSP,https://youtu.be/hxuB66J-3BI
Black,40,30,35,7,Sorghum,SSP,https://youtu.be/hxuB66J-3BI
Black,20,35,40,7.5,Sorghum,SSP,https://youtu.be/hxuB66J-3BI
Black,25,35,40,7.5,Sorghum,SSP,https://youtu.be/hxuB66J-3BI
Black,30,35,40,7.5,Sorghum,SSP,https://youtu.be/hxuB66J-3BI
Black,35,35,40,7.5,Sorghum,SSP,https://youtu.be/hxuB66J-3BI
Black,40,35,40,7.5,Sorghum,SSP,https://youtu.be/hxuB66J-3BI
Red ,100,40,50,6,Cotton,DAP,https://youtu.be/hxuB66J-3BI
Red ,105,40,50,6,Cotton,DAP,https://youtu.be/hxuB66J-3BI
Red ,110,40,50,6,Cotton,DAP,https://youtu.be/hxuB66J-3BI
Red ,115,40,50,6,Cotton,DAP,https://youtu.be/hxuB66J-3BI
Red ,120,40,50,6,Cotton,DAP,https://youtu.be/hxuB66J-3BI
Red ,125,40,50,6,Cotton,DAP,https://youtu.be/hxuB66J-3BI
Red ,130,40,50,6,Cotton,DAP,https://youtu.be/hxuB66J-3BI
Red ,135,40,50,6,Cotton,DAP,https://youtu.be/hxuB66J-3BI
Red ,140,40,50,6,Cotton,DAP,https://youtu.be/hxuB66J-3BI
Red ,145,40,50,6,Cotton,DAP,https://youtu.be/hxuB66J-3BI
Red ,150,40,50,6,Cotton,DAP,https://youtu.be/hxuB66J-3BI
Red ,100,45,55,6.5,Cotton,DAP,https://youtu.be/hxuB66J-3BI
Red ,105,45,55,6.5,Cotton,DAP,https://youtu.be/hxuB66J-3BI
Red ,110,45,55,6.5,Cotton,DAP,https://youtu.be/hxuB66J-3BI
Red ,115,45,55,6.5,Cotton,DAP,https://youtu.be/hxuB66J-3BI
Red ,120,45,55,6.5,Cotton,DAP,https://youtu.be/hxuB66J-3BI
Red ,125,45,55,6.5,Cotton,DAP,https://youtu.be/hxuB66J-3BI
Red ,130,45,55,6.5,Cotton,DAP,https://youtu.be/hxuB66J-3BI
Red ,135,45,55,6.5,Cotton,DAP,https://youtu.be/hxuB66J-3BI
Red ,140,45,55,6.5,Cotton,DAP,https://youtu.be/hxuB66J-3BI
Red ,145,45,55,6.5,Cotton,DAP,https://youtu.be/hxuB66J-3BI
Red ,150,45,55,6.5,Cotton,DAP,https://youtu.be/hxuB66J-3BI
Red ,100,50,60,7,Cotton,DAP,https://youtu.be/hxuB66J-3BI
Red ,105,50,60,7,Cotton,DAP,https://youtu.be/hxuB66J-3BI
Red ,110,50,60,7,Cotton,DAP,https://youtu.be/hxuB66J-3BI
Red ,115,50,60,7,Cotton,DAP,https://youtu.be/hxuB66J-3BI
Red ,120,50,60,7,Cotton,DAP,https://youtu.be/hxuB66J-3BI
Red ,125,50,60,7,Cotton,DAP,https://youtu.be/hxuB66J-3BI
Red ,130,50,60,7,Cotton,DAP,https://youtu.be/hxuB66J-3BI
Red ,135,50,60,7,Cotton,DAP,https://youtu.be/hxuB66J-3BI
Red ,140,50,60,7,Cotton,DAP,https://youtu.be/hxuB66J-3BI
Red ,145,50,60,7,Cotton,DAP,https://youtu.be/hxuB66J-3BI
Red ,150,50,60,7,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,100,55,65,7.5,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,105,55,65,7.5,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,110,55,65,7.5,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,115,55,65,7.5,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,120,55,65,7.5,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,125,55,65,7.5,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,130,55,65,7.5,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,135,55,65,7.5,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,140,55,65,7.5,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,145,55,65,7.5,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,150,55,65,7.5,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,100,60,70,6,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,105,60,70,6,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,110,60,70,6,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,115,60,70,6,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,120,60,70,6,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,125,60,70,6,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,130,60,70,6,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,135,60,70,6,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,140,60,70,6,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,145,60,70,6,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,150,60,70,6,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,100,40,75,6.5,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,105,40,75,6.5,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,110,40,75,6.5,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,115,40,75,6.5,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,120,40,75,6.5,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,125,40,75,6.5,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,130,40,75,6.5,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,135,40,75,6.5,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,140,40,75,6.5,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,145,40,75,6.5,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,150,40,75,6.5,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,100,45,50,6,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,105,45,50,6,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,110,45,50,6,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,115,45,50,6,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,120,45,50,6,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,125,45,50,6,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,130,45,50,6,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,135,45,50,6,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,140,45,50,6,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,145,45,50,6,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,150,45,50,6,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,100,50,55,6.5,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,105,50,55,6.5,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,110,50,55,6.5,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,115,50,55,6.5,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,120,50,55,6.5,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,125,50,55,6.5,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,130,50,55,6.5,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,135,50,55,6.5,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,140,50,55,6.5,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,145,50,55,6.5,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,150,50,55,6.5,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,100,55,60,7,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,105,55,60,7,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,110,55,60,7,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,115,55,60,7,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,120,55,60,7,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,125,55,60,7,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,130,55,60,7,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,135,55,60,7,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,140,55,60,7,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,145,55,60,7,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,150,55,60,7,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,100,60,65,7.5,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,105,60,65,7.5,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,110,60,65,7.5,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,115,60,65,7.5,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,120,60,65,7.5,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,125,60,65,7.5,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,130,60,65,7.5,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,135,60,65,7.5,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,140,60,65,7.5,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,145,60,65,7.5,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,150,60,65,7.5,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,100,40,70,6,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,105,40,70,6,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,110,40,70,6,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,115,40,70,6,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,120,40,70,6,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,125,40,70,6,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,130,40,70,6,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,135,40,70,6,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,140,40,70,6,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,145,40,70,6,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,150,40,70,6,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,100,45,75,6.5,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,105,45,75,6.5,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,110,45,75,6.5,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,115,45,75,6.5,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,120,45,75,6.5,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,125,45,75,6.5,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,130,45,75,6.5,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,135,45,75,6.5,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,140,45,75,6.5,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,145,45,75,6.5,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,150,45,75,6.5,Cotton,Magnesium Sulphate,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,100,55,50,6,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,105,55,50,6,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,110,55,50,6,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,115,55,50,6,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,120,55,50,6,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,125,55,50,6,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,130,55,50,6,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,135,55,50,6,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,140,55,50,6,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,145,55,50,6,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,150,55,50,6,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,100,60,55,6.5,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,105,60,55,6.5,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,110,60,55,6.5,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,115,60,55,6.5,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,120,60,55,6.5,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,125,60,55,6.5,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,130,60,55,6.5,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,135,60,55,6.5,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,140,60,55,6.5,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,145,60,55,6.5,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,150,60,55,6.5,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,100,40,60,7,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,105,40,60,7,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,110,40,60,7,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,115,40,60,7,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,120,40,60,7,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,125,40,60,7,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,130,40,60,7,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,135,40,60,7,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,140,40,60,7,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,145,40,60,7,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,150,40,60,7,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,100,45,65,7.5,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,105,45,65,7.5,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,110,45,65,7.5,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,115,45,65,7.5,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,120,45,65,7.5,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,125,45,65,7.5,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,130,45,65,7.5,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,135,45,65,7.5,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,140,45,65,7.5,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,145,45,65,7.5,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
Red ,150,45,65,7.5,Cotton,DAP,https://www.youtube.com/live/vX-DfTU-KbE?feature=share
